"Name","Created","Runtime","End Time","Hostname","Notes","GPU Type","Updated","Tags","alpha","c_num","dsf","z_channels","Bits_per_pixel","test_crossH","test_mse","test_softcrossH","test_total","train_crossH","train_mse","train_softcrossH","train_total","zdim"
"crisp-thunder-193","2021-04-21T16:27:16.000Z","317","2021-04-21T16:32:33.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:33.000Z","","0","128","8","4","0.3654663369138747","4.053151343536377","0.007800445663928985","0","4.060951798629761","4.0557122230529785","0.006870019715279341","0","4.062582015991211","64"
"worthy-blaze-193","2021-04-21T16:27:16.000Z","318","2021-04-21T16:32:34.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:34.000Z","","0","16","8","4","0.21967552224420905","2.436279471588134","0.008542276440560818","0","2.4448217391967773","2.430785655975342","0.008766218088567257","0","2.439551830291748","64"
"polar-bird-192","2021-04-21T16:27:16.000Z","315","2021-04-21T16:32:31.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:31.000Z","","0","32","8","4","0.2822588176725522","3.13035044670105","0.008086622255295516","0","3.1384370639801027","3.1301445960998535","0.008369418792426586","0","3.1385140419006348","64"
"polished-frog-188","2021-04-21T16:27:15.000Z","288","2021-04-21T16:32:03.000Z","gpu013.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:03.000Z","","0","8","8","4","0.1287476360050928","1.427857011795044","0.011648676413297651","0","1.439505683517456","1.4864819049835205","0.012247669510543346","0","1.498729586601257","64"
"effortless-water-191","2021-04-21T16:27:15.000Z","317","2021-04-21T16:32:32.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:32.000Z","","0","64","8","4","0.3420813879800587","3.7938039737701414","0.007802551971375942","0","3.801606523895264","3.7971749305725098","0.007491872180253267","0","3.804666757583618","64"
"leafy-galaxy-188","2021-04-21T16:27:15.000Z","305","2021-04-21T16:32:20.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:20.000Z","","0.002","32","8","4","0.13546166320367992","1.50231794052124","0.01019715625345707","2.2004167404174804","1.5169159297943116","1.512770414352417","0.010513816960155964","2.2164113521575928","1.527717113494873","64"
"splendid-shape-189","2021-04-21T16:27:15.000Z","304","2021-04-21T16:32:19.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T16:32:19.000Z","","0.002","64","8","4","0.195662614570745","2.1699678035736083","0.009078264243900775","3.455232179641724","2.185956528472901","2.1674704551696777","0.008797206915915012","3.4505882263183594","2.183168888092041","64"
"bright-serenity-186","2021-04-21T16:27:14.000Z","341","2021-04-21T16:32:55.000Z","gpu020.cluster","-","A100-PCIE-40GB","2021-04-21T16:32:55.000Z","","0.001","8","8","4","0.09566540075887071","1.0609632318496705","0.0146607725918293","1.3739711418151856","1.0769979808807373","1.1118433475494385","0.015547466464340689","1.3746893405914309","1.1287654638290403","64"
"vivid-shape-186","2021-04-21T16:27:14.000Z","341","2021-04-21T16:32:55.000Z","gpu020.cluster","-","A100-PCIE-40GB","2021-04-21T16:32:55.000Z","","0.001","16","8","4","0.1867681213619768","2.0713247131347656","0.009017389162629844","2.652490395355225","2.082994592666626","2.0808305740356445","0.009420240297913551","2.654773473739624","2.0929055213928223","64"
"olive-sun-184","2021-04-21T14:45:49.000Z","740","2021-04-21T14:58:09.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T14:58:09.000Z","","0.01","128","4","32","6.616966525455481","2.293265715789795","0.0015118373159319163","2.773423304748535","2.3225117755889895","2.279247045516968","0.0015941642923280597","2.7417194843292236","2.308258295059204","2048"
"glad-violet-185","2021-04-21T14:45:49.000Z","728","2021-04-21T14:57:57.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:57:57.000Z","","0.01","128","4","8","0.8034235024673693","1.1137814451217651","0.005384546655416489","1.7060131610870362","1.1362261184692384","1.1073604822158811","0.005455329082906246","1.6999558210372925","1.1298153400421145","512"
"atomic-firebrand-183","2021-04-21T14:45:48.000Z","787","2021-04-21T14:58:55.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:58:55.000Z","","0.01","128","4","16","1.623075883893228","1.1250306287765504","0.00391735307648778","1.8159064052581788","1.1471070465087891","1.1273772716522217","0.004130037967115641","1.821932077407837","1.149726629257202","1024"
