"Name","State","Runtime","ae_hidden","dsf","c_num","z_channels","alpha","Bits_per_pixel","test_mse","zdim"
"grateful-bird-223","finished","5104","64","1","128","16","0.01","0.7250749100676599","0.0024250436663627623","16384"
"glamorous-sun-222","finished","2683","64","1","128","8","0.01","0.35186196459596786","0.0027057177763432265","8192"
"morning-voice-221","failed","11","64","1","128","64","0.01","","",""
"scarlet-wind-220","failed","10","64","1","128","32","0.01","","",""
"true-tree-219","finished","5019","64","1","32","64","0.01","3.0060593620869422","0.0030778417527675627","65536"
"super-glitter-215","finished","2723","64","1","64","16","0.01","0.7341570366236916","0.003833556934446097","16384"
"unique-fog-215","failed","9","64","1","64","64","0.01","","",""
"fearless-eon-217","finished","2849","64","1","64","32","0.01","1.5618860849103928","0.0038637829691171646","32768"
"gallant-brook-218","finished","2612","64","1","64","8","0.01","0.36710547501012813","0.0034057380091398956","8192"
"super-sun-213","finished","3465","64","1","32","8","0.01","0.3385651894405045","0.0035872544407844543","8192"
"fiery-donkey-214","finished","3526","64","1","16","32","0.01","1.4135427571888295","0.003140426732599735","32768"
"gallant-butterfly-212","finished","2699","64","1","16","64","0.01","2.8224441255706068","0.004141849613934755","65536"
"hearty-sunset-211","finished","4507","64","1","16","16","0.01","0.6464073336717793","0.0034456150136888027","16384"
"solar-planet-210","finished","2633","64","1","16","8","0.01","0.331591145180524","0.003681801814585924","8192"
"polar-armadillo-206","finished","4405","64","1","8","8","0.01","0.3127415902886208","0.0032701528273522853","8192"
"toasty-wave-206","finished","2633","64","1","8","32","0.01","1.425869604333565","0.004056211037188768","32768"
"genial-valley-206","finished","2719","64","1","8","64","0.01","2.7798906252971727","0.003544408116489649","65536"
"amber-monkey-208","finished","4503","64","1","8","16","0.01","0.6434294871615518","0.0039784561954438686","16384"
"genial-shape-204","finished","2834","64","1","64","32","0.001","3.205334573812014","0.001154826440289617","32768"
"vital-mountain-204","finished","2649","64","1","64","16","0.001","1.6894398819154834","0.0011549896528944372","16384"
"rural-plasma-201","finished","2861","64","1","128","16","0.001","1.7436908628128185","0.0009726730599068104","16384"
"dauntless-dust-202","finished","5616","64","1","64","64","0.001","6.354074266910465","0.0010905598631128668","65536"
"silver-dust-202","finished","4838","64","1","128","8","0.001","0.9130339605519796","0.0008545292519032956","8192"
"sweet-sea-200","failed","12","64","1","128","32","0.001","","",""
"hardy-meadow-199","failed","12","64","1","128","64","0.001","","",""
"youthful-wildflower-198","finished","4569","64","1","32","8","0.001","0.8014950604529003","0.0010458973575383423","8192"
"polished-dragon-197","finished","2578","64","1","32","16","0.001","1.6048363065076705","0.0011950071489438415","16384"
"proud-durian-194","finished","2693","64","1","32","32","0.001","3.2060628721832756","0.001163168283738196","32768"
"dazzling-thunder-194","finished","2657","64","1","64","8","0.001","0.8885322847545007","0.001014033882692456","8192"
"honest-firefly-196","finished","2893","64","1","32","64","0.001","6.182288891430257","0.001339164712652564","65536"
"serene-bird-193","finished","2694","64","1","16","32","0.001","2.8992101062374385","0.0013624092623591422","32768"
"pretty-morning-191","finished","3694","64","1","16","64","0.001","6.107893002849449","0.001176217992976308","65536"
"amber-sunset-189","finished","4447","64","1","16","8","0.001","0.7593587277639464","0.0011677168741822245","8192"
"distinctive-silence-190","finished","4495","64","1","16","16","0.001","1.4876266363578896","0.0011963510800153017","16384"
"trim-dream-191","finished","4613","64","1","8","64","0.001","5.257017960215851","0.0014737954046577216","65536"
"stellar-flower-188","finished","3449","64","1","8","16","0.001","1.3399330146509687","0.0015347770668566226","16384"
"prime-sun-186","finished","2639","64","1","8","32","0.001","2.652515859204736","0.0016640214283019305","32768"
"avid-wildflower-187","finished","3442","64","1","8","8","0.001","0.6573713865762527","0.00146926175840199","8192"
"frosty-plant-185","failed","10","64","1","128","64","0","","",""
"dazzling-salad-181","failed","11","64","1","128","32","0","","",""
"smooth-cherry-183","finished","5620","64","1","64","64","0","9.694095902975375","0.0007758642522618175","65536"
"elated-eon-183","finished","5150","64","1","64","32","0","4.732524807192561","0.0007554863667115569","32768"
"playful-forest-182","finished","2892","64","1","128","16","0","2.8870179418710737","0.000695976261422038","16384"
